2014-11-28 16:02:42.7014 *********************************************************
2014-11-28 16:02:42.7170 * VersionOne Data Migration Log
2014-11-28 16:02:42.7326 * 11/28/2014 4:02:42 PM
2014-11-28 16:02:42.7326 *********************************************************
2014-11-28 16:02:42.7326 
2014-11-28 16:02:42.7326 Initializing configurations.
2014-11-28 16:02:42.9822 Verifying connections.
2014-11-28 16:02:56.3760 -> Connection to staging database "V1Staging" verified.
2014-11-28 16:03:17.7852 -> Connection to V1 target instance "http://localhost/AllyProduction" verified.
2014-11-28 16:03:17.7852 -> V1 target instance version: 14.3.2.6314.
2014-11-28 16:03:18.0504 
2014-11-28 16:03:18.0504 *** IMPORTING:
2014-11-28 16:03:18.2688 Importing conversations.
2014-11-28 16:05:36.2280 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:37.6632 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:37.8348 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:38.0064 Name is Story:15339 and newAssetOId is 
2014-11-28 16:05:38.1780 Name is Story:15339 and newAssetOId is 
2014-11-28 16:05:38.3496 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:38.5212 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:39.3792 Name is Story:15339 and newAssetOId is 
2014-11-28 16:05:40.7052 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:40.8768 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:41.0328 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:41.2044 Name is Story:15339 and newAssetOId is 
2014-11-28 16:05:41.3760 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:41.5476 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:42.4524 Name is Story:15339 and newAssetOId is 
2014-11-28 16:05:43.7940 Name is Story:15339 and newAssetOId is 
2014-11-28 16:05:43.9656 Name is Story:17030 and newAssetOId is 
2014-11-28 16:05:44.1372 Name is Story:17030 and newAssetOId is 
2014-11-28 16:05:44.3088 Name is Story:17030 and newAssetOId is 
2014-11-28 16:05:44.4804 Name is Story:16375 and newAssetOId is 
2014-11-28 16:05:44.6520 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:45.1980 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:46.8566 Name is Story:15335 and newAssetOId is 
2014-11-28 16:05:47.0750 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:47.2466 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:47.4182 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:47.5742 Name is Story:15339 and newAssetOId is 
2014-11-28 16:05:47.7458 Name is Story:15339 and newAssetOId is 
2014-11-28 16:05:48.3698 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:49.9610 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:50.1326 Name is Story:17030 and newAssetOId is 
2014-11-28 16:05:50.3042 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:50.4758 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:50.6474 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:50.8190 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:51.3338 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:53.0186 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:53.1902 Name is Story:15335 and newAssetOId is 
2014-11-28 16:05:53.3618 Name is Story:17030 and newAssetOId is 
2014-11-28 16:05:53.5490 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:53.7206 Name is Story:15339 and newAssetOId is 
2014-11-28 16:05:53.8922 Name is Story:15335 and newAssetOId is 
2014-11-28 16:05:54.5942 Name is Story:15489 and newAssetOId is 
2014-11-28 16:05:56.1386 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:56.3102 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:56.4818 Name is Story:15510 and newAssetOId is 
2014-11-28 16:05:56.6534 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:56.8250 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:56.9966 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:57.5894 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:59.1962 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:59.3678 Name is Story:17030 and newAssetOId is 
2014-11-28 16:05:59.5394 Name is Story:15512 and newAssetOId is 
2014-11-28 16:05:59.7110 Name is Story:15512 and newAssetOId is 
